Data,preco,Mes,ano
13/05/2024,83,18,5,2024
10/05/2024,83,39,5,2024
09/05/2024,83,27,5,2024
08/05/2024,82,44,5,2024
07/05/2024,82,69,5,2024
03/05/2024,83,6,5,2024
02/05/2024,84,81,5,2024
01/05/2024,83,55,5,2024
30/04/2024,88,23,4,2024
29/04/2024,88,44,4,2024
26/04/2024,89,95,4,2024
25/04/2024,88,1,4,2024
24/04/2024,89,02,4,2024
23/04/2024,88,29,4,2024
22/04/2024,87,3,4,2024
19/04/2024,87,96,4,2024
18/04/2024,88,34,4,2024
17/04/2024,89,54,4,2024
16/04/2024,91,29,4,2024
15/04/2024,90,84,4,2024
12/04/2024,93,12,4,2024
11/04/2024,91,49,4,2024
10/04/2024,91,57,4,2024
09/04/2024,92,13,4,2024
08/04/2024,91,73,4,2024
05/04/2024,92,81,4,2024
04/04/2024,90,32,4,2024
03/04/2024,90,6,4,2024
02/04/2024,87,63,4,2024
28/03/2024,86,17,3,2024
27/03/2024,84,94,3,2024
26/03/2024,85,91,3,2024
25/03/2024,86,18,3,2024
22/03/2024,84,87,3,2024
21/03/2024,84,92,3,2024
20/03/2024,85,77,3,2024
19/03/2024,87,36,3,2024
18/03/2024,86,47,3,2024
15/03/2024,85,39,3,2024
14/03/2024,86,16,3,2024
13/03/2024,83,95,3,2024
12/03/2024,83,66,3,2024
11/03/2024,83,44,3,2024
08/03/2024,84,29,3,2024
07/03/2024,84,88,3,2024
06/03/2024,86,59,3,2024
05/03/2024,85,82,3,2024
04/03/2024,86,58,3,2024
01/03/2024,84,82,3,2024
29/02/2024,84,57,2,2024
28/02/2024,84,08,2,2024
27/02/2024,83,8,2,2024
26/02/2024,84,01,2,2024
23/02/2024,84,18,2,2024
22/02/2024,85,84,2,2024
21/02/2024,84,77,2,2024
20/02/2024,84,78,2,2024
19/02/2024,85,52,2,2024
16/02/2024,84,88,2,2024
15/02/2024,84,33,2,2024
14/02/2024,84,41,2,2024
13/02/2024,84,72,2,2024
12/02/2024,83,88,2,2024
09/02/2024,83,58,2,2024
08/02/2024,83,01,2,2024
07/02/2024,81,18,2,2024
06/02/2024,80,46,2,2024
05/02/2024,79,3,2,2024
02/02/2024,79,54,2,2024
01/02/2024,82,2,2,2024
31/01/2024,82,98,1,2024
30/01/2024,84,14,1,2024
29/01/2024,83,99,1,2024
26/01/2024,83,34,1,2024
25/01/2024,82,33,1,2024
24/01/2024,82,15,1,2024
23/01/2024,82,04,1,2024
22/01/2024,81,7,1,2024
19/01/2024,80,71,1,2024
18/01/2024,81,04,1,2024
17/01/2024,78,88,1,2024
16/01/2024,80,15,1,2024
15/01/2024,79,76,1,2024
12/01/2024,79,89,1,2024
11/01/2024,80,21,1,2024
10/01/2024,78,46,1,2024
09/01/2024,77,97,1,2024
08/01/2024,75,47,1,2024
05/01/2024,78,31,1,2024
04/01/2024,75,79,1,2024
03/01/2024,77,18,1,2024
02/01/2024,76,24,1,2024
29/12/2023,77,69,12,2023
28/12/2023,79,04,12,2023
27/12/2023,80,97,12,2023
26/12/2023,80,23,12,2023
22/12/2023,80,23,12,2023
21/12/2023,80,73,12,2023
20/12/2023,81,1,12,2023
19/12/2023,79,82,12,2023
18/12/2023,78,89,12,2023
15/12/2023,76,84,12,2023
14/12/2023,77,05,12,2023
13/12/2023,74,14,12,2023
12/12/2023,74,11,12,2023
11/12/2023,75,75,12,2023
08/12/2023,75,94,12,2023
07/12/2023,74,21,12,2023
06/12/2023,74,33,12,2023
05/12/2023,77,27,12,2023
04/12/2023,78,16,12,2023
01/12/2023,78,72,12,2023
30/11/2023,81,72,11,2023
29/11/2023,82,98,11,2023
28/11/2023,81,66,11,2023
27/11/2023,79,49,11,2023
24/11/2023,79,82,11,2023
23/11/2023,80,85,11,2023
22/11/2023,81,76,11,2023
21/11/2023,82,42,11,2023
20/11/2023,83,25,11,2023
17/11/2023,81,22,11,2023
16/11/2023,77,73,11,2023
15/11/2023,82,4,11,2023
14/11/2023,84,2,11,2023
13/11/2023,84,09,11,2023
10/11/2023,83,66,11,2023
09/11/2023,81,74,11,2023
08/11/2023,81,46,11,2023
07/11/2023,83,43,11,2023
06/11/2023,87,31,11,2023
30/10/2023,90,73,10,2023
27/10/2023,90,73,10,2023
