Data,preco
2024-05-13,"U$$ 84,95"
2024-05-14,"U$$ 85,25"
2024-05-15,"U$$ 84,82"
2024-05-16,"U$$ 84,95"
2024-05-17,"U$$ 85,56"
2024-05-20,"U$$ 86,80"
2024-05-21,"U$$ 87,21"
2024-05-22,"U$$ 86,86"
2024-05-23,"U$$ 87,05"
2024-05-24,"U$$ 87,69"
2024-05-27,"U$$ 88,91"
2024-05-28,"U$$ 89,27"
2024-05-29,"U$$ 88,86"
2024-05-30,"U$$ 88,97"
2024-05-31,"U$$ 89,52"
2024-06-03,"U$$ 90,41"
2024-06-04,"U$$ 90,65"
2024-06-05,"U$$ 90,10"
2024-06-06,"U$$ 90,08"
2024-06-07,"U$$ 90,50"
2024-06-10,"U$$ 90,99"
2024-06-11,"U$$ 91,09"
2024-06-12,"U$$ 90,42"
2024-06-13,"U$$ 90,27"
2024-06-14,"U$$ 90,57"
2024-06-17,"U$$ 90,70"
2024-06-18,"U$$ 90,70"
2024-06-19,"U$$ 89,93"
2024-06-20,"U$$ 89,69"
2024-06-21,"U$$ 89,90"
2024-06-24,"U$$ 89,83"
2024-06-25,"U$$ 89,79"
2024-06-26,"U$$ 88,98"
2024-06-27,"U$$ 88,71"
2024-06-28,"U$$ 88,91"
2024-07-01,"U$$ 88,90"
2024-07-02,"U$$ 88,90"
2024-07-03,"U$$ 88,15"
2024-07-04,"U$$ 87,96"
2024-07-05,"U$$ 88,24"
2024-07-08,"U$$ 88,53"
2024-07-09,"U$$ 88,64"
2024-07-10,"U$$ 88,00"
2024-07-11,"U$$ 87,93"
2024-07-12,"U$$ 88,33"
2024-07-15,"U$$ 88,92"
2024-07-16,"U$$ 89,11"
2024-07-17,"U$$ 88,54"
2024-07-18,"U$$ 88,51"
2024-07-19,"U$$ 88,94"
2024-07-22,"U$$ 89,49"
2024-07-23,"U$$ 89,62"
2024-07-24,"U$$ 88,98"
2024-07-25,"U$$ 88,85"
2024-07-26,"U$$ 89,15"
2024-07-29,"U$$ 89,25"
2024-07-30,"U$$ 89,21"
2024-07-31,"U$$ 88,38"
2024-08-01,"U$$ 88,06"
2024-08-02,"U$$ 88,18"
2024-08-05,"U$$ 87,77"
2024-08-06,"U$$ 87,58"
2024-08-07,"U$$ 86,62"
2024-08-08,"U$$ 86,20"
2024-08-09,"U$$ 86,24"
